dir,hir,lvr,ccs,mcs,pbcr,dmi,self,single,uria,comdominiom,black,deny
0.221000004,0.221000004,0.8,5,2,no,no,no,no,3.900000095,0,no,no
0.265,0.265,0.921875,2,2,no,no,no,yes,3.200000048,0,no,no
0.372000008,0.247999992,0.92039801,1,2,no,no,no,no,3.200000048,0,no,no
0.32,0.25,0.860465116,1,2,no,no,no,no,4.300000191,0,no,no
0.36,0.35,0.6,1,1,no,no,no,no,3.200000048,0,no,no
0.24,0.17,0.510526316,1,1,no,no,no,no,3.900000095,0,no,no
0.35,0.29,0.746666667,1,2,no,no,no,yes,3.900000095,1,no,no
0.28,0.22,0.85,2,2,no,no,no,no,1.799999952,0,no,no
0.31,0.24,0.897260274,2,2,no,yes,no,no,3.099999905,0,no,yes
0.18,0.17,0.358744395,2,1,no,no,no,yes,3.900000095,0,no,no
0.28,0.27,0.223880597,1,2,no,no,no,yes,3.099999905,1,no,no
0.31,0.3,0.688888889,1,2,no,no,no,yes,4.300000191,0,no,no
0.28,0.27,0.537634409,1,2,no,yes,no,no,4.300000191,0,no,yes
0.36,0.34,0.649438202,1,1,no,no,no,no,10.60000038,0,no,no
0.18,0.15,0.3625,1,1,no,no,no,no,3.200000048,0,no,no
0.36,0.27,0.833333333,2,1,no,no,no,no,3.200000048,0,no,no
0.23,0.22,0.642857143,1,1,no,no,no,no,3.200000048,0,no,no
0.32,0.27,0.4375,2,1,no,no,no,no,3.200000048,0,no,no
0.31,0.29,0.794444444,2,2,no,no,no,no,4.300000191,0,no,no
0.37,0.28,0.8,2,2,no,no,no,yes,3.099999905,0,no,no
0.37,0.22,0.896341463,6,1,yes,yes,no,no,3.099999905,0,no,yes
0.39,0.31,0.878571429,3,2,no,no,no,no,5.300000191,0,no,no
0.32,0.32,0.772058824,1,2,no,no,no,yes,10.60000038,0,no,no
0.39,0.33,0.901023891,1,2,no,no,no,no,3.200000048,0,no,no
0.33,0.31,0.65437788,1,2,no,no,no,yes,3.900000095,0,no,no
0.28,0.13,0.62962963,1,2,no,no,no,yes,3.200000048,1,no,no
0.37,0.28,0.894736842,1,2,no,no,no,yes,1.799999952,1,no,no
0.3,0.25,0.485436893,1,2,no,no,no,yes,3.200000048,0,no,no
0.31,0.29,0.949367089,1,2,no,no,no,no,3.900000095,0,no,no
0.26,0.21,0.891089109,1,2,no,no,no,yes,1.799999952,0,yes,no
0.36,0.29,0.863309353,1,2,no,no,no,yes,4.300000191,0,no,no
0.37,0.2,0.714285714,5,1,no,no,no,no,4.300000191,0,no,no
0.35,0.26,0.751219512,3,2,no,no,no,yes,3.599999905,0,no,no
0.37,0.26,0.90212766,1,2,no,no,no,yes,2,0,no,no
0.34,0.28,0.847058824,1,2,no,no,no,no,4.300000191,0,no,no
0.38,0.28,0.473684211,1,2,no,no,no,no,3.900000095,1,no,no
0.44,0.31,0.687969925,1,1,no,no,no,no,3.099999905,0,no,no
0.35,0.22,0.897810219,2,1,no,no,no,no,4.300000191,0,yes,no
0.38,0.28,0.880851064,1,2,no,no,no,no,3.099999905,0,no,no
0.37,0.34,0.919753086,1,2,no,no,no,yes,3.099999905,0,no,no
0.37,0.28,0.936363636,1,2,no,no,no,no,3.900000095,0,no,no
0.41,0.1,0.642857143,1,1,no,no,no,no,2,1,no,no
0.35,0.34,1.47826087,1,2,no,yes,no,no,3.200000048,0,no,yes
0.41,0.3,0.72,3,4,no,no,no,no,3.200000048,0,no,yes
0.34,0.28,0.677966102,6,2,yes,no,no,yes,3.099999905,0,no,no
0.29,0.19,0.9,2,2,no,no,no,no,3.200000048,0,no,no
0.27,0.26,0.8,6,2,yes,no,no,no,3.200000048,0,no,yes
0.37,0.27,0.853846154,1,2,no,no,no,yes,3.200000048,0,yes,no
0.34,0.3,0.741935484,1,2,no,no,yes,no,3.900000095,0,no,yes
0.36,0.15,0.675675676,2,1,no,no,no,yes,3.099999905,0,no,no
0.34,0.32,0.643678161,5,3,no,no,no,yes,3.200000048,0,no,no
0.27,0.21,0.941176471,1,2,no,no,no,no,2,0,no,no
0.16,0.08,0.732484076,1,1,no,no,no,yes,3.200000048,0,no,no
0.39,0.28,0.913580247,1,2,no,no,no,yes,3.099999905,0,no,no
0.36,0.26,0.207142857,5,2,no,no,no,no,3.200000048,0,no,no
0.313999996,0.265,0.93442623,1,2,yes,no,no,no,3.200000048,0,no,no
0.34,0.28,0.903448276,1,2,yes,no,no,no,3.900000095,0,no,no
0.332000008,0.281000004,0.902439024,2,2,no,no,no,yes,10.60000038,0,no,no
0.33,0.33,0.636942675,1,1,no,no,yes,yes,4.300000191,0,no,no
0.399000015,0.272000008,0.769230769,1,2,no,no,no,yes,10.60000038,1,no,no
0.342000008,0.322000008,0.75,1,2,no,no,no,no,3.200000048,0,no,no
0.375999985,0.277999992,0.8,2,1,no,no,no,yes,3.200000048,1,no,no
0.320999985,0.251000004,0.888888889,1,2,no,no,no,no,4.300000191,1,no,no
0.278999996,0.207999992,0.751879699,1,2,no,no,no,no,5.300000191,0,no,no
0.317000008,0.246000004,0.894039735,2,2,no,no,no,no,3.200000048,0,no,no
0.285,0.26,0.65,1,2,no,no,yes,no,3.900000095,0,yes,no
0.365,0.24,0.940397351,2,2,no,no,no,no,3.099999905,0,no,no
0.337000008,0.313999996,0.425531915,4,1,no,no,no,no,3.200000048,0,no,no
0.35,0.27,0.678571429,1,1,no,no,no,yes,3.200000048,1,no,no
0.352000008,0.288999996,0.884615385,2,2,no,no,no,yes,3.200000048,1,no,no
0.35,0.28,0.939189189,1,1,no,no,no,no,3.200000048,0,no,no
0.344000015,0.251000004,0.902439024,1,2,no,no,no,no,3.099999905,0,no,no
0.28,0.28,0.738255034,1,2,no,no,no,yes,3.200000048,0,no,no
0.377999992,0.225,0.899470899,2,2,no,no,no,no,4.300000191,0,no,no
0.257999992,0.193999996,0.677966102,2,2,no,no,no,no,5.300000191,0,no,no
0.217999992,0.081999998,0.802197802,2,1,no,no,yes,no,10.60000038,0,no,no
0.23,0.17,0.553072626,1,1,no,no,no,no,3.099999905,0,no,no
0.285,0.285,0.651567944,1,2,no,no,no,no,3.200000048,0,no,no
0.265,0.265,0.835164835,2,2,yes,yes,no,no,4.300000191,0,no,yes
0.36,0.24,0.784313725,1,4,no,no,no,yes,5.300000191,1,no,no
0.272000008,0.27,0.666666667,1,1,no,no,no,no,2,0,no,no
0.36,0.22,0.801136364,2,1,no,no,yes,yes,3.200000048,1,no,no
0.31,0.31,0.882352941,4,2,no,no,no,no,3.200000048,0,yes,yes
0.359000015,0.288999996,0.902985075,2,2,no,no,no,yes,4.300000191,0,no,yes
0.397000008,0.243999996,0.660377358,2,1,no,no,no,no,3.200000048,0,no,no
0.34,0.26,0.746753247,2,1,no,no,yes,no,10.60000038,0,no,no
0.218999996,0.212999992,0.767676768,2,2,no,no,no,no,4.300000191,0,yes,yes
0.32,0.32,0.85,1,2,no,no,no,yes,4.300000191,0,no,no
0.32,0.24,0.948148148,1,2,no,no,no,no,4.300000191,0,no,no
0.28,0.28,0.434782609,1,2,no,no,no,yes,2,0,no,no
0.387999992,0.32,0.888111888,3,2,no,no,no,no,2,0,yes,yes
0.25,0.18,0.782608696,1,2,no,no,no,yes,3.200000048,1,no,no
0.34,0.25,0.8,1,1,no,no,no,no,10.60000038,0,no,no
0.32,0.22,0.730593607,2,2,no,no,no,yes,3.200000048,0,no,no
0.312000008,0.256000004,0.792207792,1,2,no,no,yes,no,1.799999952,0,no,no
0.33,0.31,0.580246914,1,2,no,no,no,yes,4.300000191,1,no,no
0.32,0.31,0.636363636,2,2,no,no,no,no,3.200000048,0,no,no
0.38,0.3,0.876470588,2,1,no,no,no,no,10.60000038,0,no,no
0.32,0.2,0.796992481,1,2,no,no,no,no,2,0,no,no
0.23,0.22,0.922222222,1,2,no,no,no,no,4.300000191,0,no,no
0.27,0.27,0.751269036,2,2,no,no,no,no,4.300000191,0,no,no
0.313999996,0.313999996,0.666666667,5,1,no,no,no,yes,1.799999952,0,no,no
0.35,0.23,0.851851852,3,2,no,no,no,yes,3.900000095,0,no,no
0.32,0.27,0.743362832,2,2,no,no,yes,yes,3.200000048,0,no,no
0.357999992,0.101999998,0.8,1,1,no,no,no,no,3.900000095,0,no,no
0.35,0.33,0.9296875,1,2,no,yes,no,yes,3.900000095,0,no,yes
0.34,0.24,0.922535211,3,2,no,no,no,no,3.099999905,0,no,no
0.31,0.22,0.8,2,2,no,no,yes,yes,10.60000038,0,no,no
0.29,0.21,0.703225806,3,3,no,no,no,no,3.099999905,0,no,no
0.61,0.39,0.555555556,1,2,no,no,no,no,10.60000038,0,no,yes
0.262999992,0.226000004,0.625407166,1,1,no,no,no,no,3.200000048,0,no,no
